team_year,BPI_Off,BPI_Def,BPI
2009 Air Force,-10.8,3.7,-7.1
2009 Georgia Southern,0.6,-7.8,-7.2
2009 Southern Utah,-4.6,-2.7,-7.2
2009 Toledo,-6.6,-0.7,-7.3
2009 Norfolk St.,0.1,-7.5,-7.4
2009 Bucknell,-3.2,-4.3,-7.5
2009 New Orleans,-7,-0.5,-7.6
2009 Brown,-5.7,-2,-7.7
2009 Kansas City,-3.1,-4.6,-7.7
2009 UL Monroe,-2.8,-5,-7.7
2009 Bethune-Cookman,-11.9,4.1,-7.8
2009 Eastern Michigan,-9.4,1.7,-7.8
2009 Colgate,-10.8,2.8,-8
2009 South Carolina UpSt.,-8.4,0.3,-8.1
2009 Charleston Southern,-2.9,-5.5,-8.4
2009 Dartmouth,-5.7,-2.7,-8.4
2009 Cal St. Bakersfield,-3.8,-4.7,-8.5
2009 Hartford,-6.5,-2,-8.5
2009 Lafayette,-1.6,-7.2,-8.8
2009 Florida Gulf Coast,-4.7,-4.2,-8.9
2009 Western Illinois,-10.2,1.2,-8.9
2009 UNC Wilmington,2.7,-12.2,-9.5
2009 Arkansas Pine Bluff,-6.4,-3.2,-9.6
2009 UT Rio Grande Valley,-6.2,-3.8,-10
2009 Delaware St.,-9.8,-0.3,-10
2009 Central Arkansas,-7.1,-3,-10.1
2009 UNC Greensboro,-6,-4.2,-10.1
2009 Monmouth,-6.5,-3.7,-10.2
2009 St. Francis (PA),-7.5,-2.7,-10.2
2009 Texas Southern,-4.8,-5.5,-10.3
2009 Furman,-8.5,-2.1,-10.6
2009 Fordham,-5.1,-5.7,-10.8
2009 Northwestern St.,-1.1,-9.9,-11
2009 SIU Edwardsville,-3,-8.2,-11.2
2009 Bryant,-9.7,-1.5,-11.2
2009 Mississippi Valley St.,-4.7,-7.2,-11.9
2009 North Dakota,-4.4,-7.6,-12
2009 Fairleigh Dickinson,-3.5,-8.5,-12
2009 Houston Baptist,-0.8,-11.2,-12
2009 Southeast Missouri St.,-1.9,-10.3,-12.2
2009 Florida A&M,-6.1,-6.3,-12.4
2009 Pepperdine,-6,-6.4,-12.4
2009 Howard,-6.8,-5.8,-12.6
2009 Southern,-8.6,-4.2,-12.7
2009 Kennesaw St.,-10.9,-2.7,-13.6
2009 Winston Salem,-10.7,-3.2,-13.9
2009 Alabama A&M,-7.7,-6.3,-14
2009 Sacramento St.,-9.7,-4.6,-14.3
2009 Loyola Marymount,-10.7,-3.6,-14.3
2009 Grambling,-8.6,-6,-14.6
2009 Maryland-Eastern Shore,-9.6,-5.4,-15
2009 North Florida,-12.4,-3.2,-15.6
2009 Alcorn St.,-2.6,-14.9,-17.5
2009 North Carolina Central,-8.7,-9.6,-18.4
2009 NJIT,-18.6,-1.5,-20.1
2010 Duke,12.8,9.6,22.5
2010 Kansas,13.4,7.8,21.2
2010 Syracuse,13.4,5.5,18.8
2010 Kentucky,11.7,5.5,17.2
2010 West Virginia,7.8,8.7,16.5
2010 Ohio St.,8.5,8,16.5
2010 Wisconsin,2.3,13.6,15.9
2010 Baylor,9.5,6,15.4
2010 Maryland,11.9,3.3,15.2
2010 Villanova,14.5,0.6,15
2010 Purdue,5.6,9.3,14.9
2010 Kansas St.,11.3,3.3,14.5
2010 Georgetown,8.3,6.2,14.5
2010 BYU,12.6,1.8,14.4
2010 Texas,12.3,1.9,14.2
2010 Tennessee,7.1,6.7,13.8
2010 Missouri,9.1,4.6,13.7
2010 Xavier,11.9,1.6,13.4
2010 Clemson,7.2,6.3,13.4
2010 Florida St.,2.7,10.4,13.1
2010 Minnesota,6.6,6.2,12.8
2010 Utah St.,4.1,8.7,12.8
2010 Vanderbilt,9.2,3.4,12.7
2010 Marquette,6.4,6.2,12.6
2010 Butler,3.1,9.4,12.5
2010 Pittsburgh,3,9.5,12.5
2010 Louisville,9.1,3.3,12.4
2010 Michigan St.,6.3,5.9,12.2
2010 Temple,-1.1,13.1,12
2010 Georgia Tech,6,5.9,11.9
2010 California,11.3,0.5,11.7
2010 Washington,10.8,0.5,11.4
2010 Old Dominion,0.3,11,11.3
2010 Texas A&M,4.4,6.8,11.2
2010 Mississippi St.,5.8,5.2,11.1
2010 Murray St.,4.6,6.3,10.9
2010 Mississippi,9.7,1.2,10.9
2010 Florida,5.9,4.9,10.8
2010 UNLV,5.9,4.9,10.8
2010 Dayton,2.5,8.1,10.6
2010 Cornell,6.9,3.6,10.5
2010 UTEP,6.3,4.2,10.5
2010 Northern Iowa,-2.7,12.9,10.3
2010 Connecticut,4.4,5.7,10.1
2010 Virginia Tech,4.6,5.4,10
2010 Memphis,6,4,9.9
2010 Richmond,2.1,7.7,9.7
2010 New Mexico,7.3,2.4,9.7
2010 Oklahoma St.,6.1,3.5,9.6
2010 Siena,7.5,2.1,9.6
2010 Wake Forest,6.4,3.1,9.5
2010 Arizona St.,0,9.4,9.4
2010 Notre Dame,8.4,1.1,9.4
2010 Miami FL,5.3,4.1,9.4
2010 Saint Mary's,8.3,0.9,9.2
2010 VCU,7.9,1.2,9
2010 Gonzaga,7.5,1.5,9
2010 Seton Hall,11,-2.2,8.8
2010 Rhode Island,8.2,0.4,8.6
2010 Marshall,8.9,-0.3,8.5
2010 Illinois,5.4,2.9,8.4
2010 North Carolina,7.3,1,8.4
2010 UAB,0.2,8,8.2
2010 Boston College,4.1,3.7,7.8
2010 St. John's,1.6,6.2,7.8
2010 Michigan,-0.3,7.9,7.7
2010 Cincinnati,2.9,4.7,7.6
2010 San Diego St.,2.3,5.2,7.4
2010 South Carolina,5.2,2.1,7.4
2010 Tulsa,2.8,4.5,7.3
2010 Wright St.,0.1,7.1,7.2
2010 Alabama,1.6,5.6,7.1
2010 Virginia,-0.1,6.6,6.5
2010 Wichita St.,0.9,5.5,6.4
2010 Iowa St.,4.2,2.1,6.3
2010 Northwestern,3.2,3.1,6.2
2010 Northeastern,-2.4,8.6,6.2
2010 NC St.,0.7,5.5,6.1
2010 Kent St.,2.6,3.3,5.9
2010 Providence,13,-7.1,5.8
2010 Wofford,-0.2,5.9,5.7
2010 Sam Houston St.,6.9,-1.2,5.7
2010 USC,-6.8,12.3,5.6
2010 Charlotte,5.3,0.2,5.5
2010 Texas Tech,7.7,-2.3,5.5
2010 Illinois St.,1.7,3.7,5.5
2010 Missouri St.,3.3,2.1,5.4
2010 Houston,9.9,-4.6,5.3
2010 Coastal Carolina,-0.1,5.3,5.2
2010 Nevada,8.2,-3.1,5.1
2010 Portland,2.4,2.5,4.9
2010 Montana,-1.2,6,4.9
2010 South Florida,0.9,3.8,4.7
2010 Penn St.,0.3,4.4,4.7
2010 Georgia,1.8,2.8,4.6
2010 IUPUI,4.1,0.4,4.5
2010 William & Mary,0.6,3.9,4.4
2010 Arizona,5.2,-0.9,4.4
2010 Morehead St.,0.1,4.2,4.3
2010 Akron,2.1,2.2,4.3
2010 Ohio,5.9,-1.7,4.2
2010 Auburn,6.4,-2.3,4.2
2010 Arkansas,6.2,-2.1,4.2
2010 Oklahoma,4.6,-0.5,4.1
2010 Colorado,6,-1.9,4.1
2010 Iona,-2,6.1,4.1
2010 Weber St.,5.4,-1.5,3.8
2010 Harvard,4.4,-0.6,3.8
2010 UCLA,1.5,2.2,3.7
2010 Nebraska,-0.7,4.4,3.6
2010 Oakland,6.4,-2.8,3.6
2010 George Washington,1.4,2.2,3.5
2010 Creighton,2.8,0.8,3.5
2010 Princeton,-8.3,11.7,3.4
2010 Saint Louis,-4.5,7.9,3.4
2010 Louisiana Tech,3.6,-0.3,3.3
2010 Washington St.,4.3,-1,3.3
2010 Pacific,-3.9,7.1,3.3
2010 Bradley,1.6,1.5,3.1
2010 Western Kentucky,1.9,1.1,3
2010 Niagara,4.2,-1.4,2.8
2010 Oral Roberts,-0.4,3.1,2.6
2010 Boston University,4.3,-1.7,2.6
2010 Fairfield,2.1,0.4,2.5
2010 Southern Illinois,2.4,0,2.4
2010 Hofstra,1.9,0.4,2.3
2010 Appalachian St.,4,-1.7,2.3
2010 Eastern Kentucky,1.9,0.4,2.3
2010 Stanford,2.1,0.2,2.3
2010 Vermont,1,1.2,2.2
2010 Morgan St.,5.5,-3.3,2.2
2010 Utah,-0.8,3,2.2
2010 Oregon,2.5,-0.4,2.1
2010 Southern Miss,-4.4,6.5,2.1
2010 Indiana St.,0.1,1.8,1.9
2010 Western Carolina,2.8,-0.9,1.9
2010 Miami (OH),-4.2,6.1,1.9
2010 Long Beach St.,3,-1.3,1.8
2010 Jacksonville,1.4,0.3,1.7
2010 Duquesne,3.7,-2.1,1.7
2010 Belmont,2.9,-1.4,1.5
2010 New Mexico St.,7.9,-6.5,1.4
2010 Oregon St.,-6.5,7.8,1.3
2010 Western Michigan,1.2,0.1,1.3
2010 Charleston,5.9,-4.6,1.3
2010 Northern Colorado,2.1,-0.8,1.3
2010 St. Bonaventure,1.4,-0.2,1.2
2010 UC Santa Barbara,-1.2,2.3,1.2
2010 Drexel,-4,5,1
2010 Detroit Mercy,-0.3,1.3,1
2010 Lipscomb,7.3,-6.5,0.8
2010 Davidson,1,-0.3,0.8
2010 Green Bay,0.2,0.4,0.7
2010 Milwaukee,1.1,-0.5,0.6
2010 George Mason,-0.8,1.3,0.5
2010 Mount St. Mary's,-3.2,3.7,0.4
2010 Campbell,-3.2,3.6,0.4
2010 Stony Brook,-1.4,1.9,0.4
2010 Cleveland St.,0.3,0.1,0.4
2010 Buffalo,3.6,-3.3,0.3
2010 Colorado St.,-1.1,1.2,0.2
2010 Middle Tennessee,-2,2.1,0.1
2010 Quinnipiac,2.3,-2.2,0.1
2010 Stephen F. Austin,-5.9,5.9,0
2010 Texas A&M-CC,-2.1,2.1,0
2010 UCF,-1.1,1.1,0
2010 Drake,0.6,-0.6,0
2010 LSU,-4.7,4.6,0
2010 Saint Peter's,-6.3,6.2,-0.1
2010 Fresno St.,-2.2,2.1,-0.1
2010 East Tennessee St.,-1.1,1,-0.1
2010 Robert Morris,-0.9,0.7,-0.2
2010 SMU,-2.9,2.8,-0.2
2010 UTSA,-0.6,0.4,-0.2
2010 La Salle,2.8,-3.1,-0.2
2010 Idaho,-0.1,-0.2,-0.3
2010 Rutgers,0.4,-0.7,-0.3
2010 Troy,3,-3.4,-0.4
2010 Boise St.,2.5,-3,-0.5
2010 Lehigh,4.3,-4.8,-0.6
2010 Saint Joseph's,2.5,-3.1,-0.6
2010 Indiana,0.5,-1.1,-0.6
2010 Iowa,-4,3.3,-0.7
2010 SE Louisiana,-0.3,-0.5,-0.8
2010 Denver,-4.2,3.4,-0.8
2010 Loyola Marymount,5.7,-6.5,-0.8
2010 DePaul,-4.4,3.6,-0.8
2010 Austin Peay,2.1,-3,-0.8
2010 North Texas,2.1,-3.1,-0.9
2010 Massachusetts,2.3,-3.2,-0.9
2010 The Citadel,-7.6,6.6,-1
2010 Arkansas St.,-1.5,0.5,-1
2010 Radford,-0.4,-0.7,-1
2010 Eastern Illinois,-2.3,1.3,-1.1
2010 Rider,1.8,-3,-1.2
2010 Cal St. Fullerton,3.8,-5,-1.3
2010 San Francisco,1.4,-2.8,-1.4
2010 Loyola MD,-2.2,0.7,-1.5
2010 Central Michigan,-3.5,1.9,-1.6
2010 Seattle U,6.7,-8.4,-1.6
2010 Maine,-5,3.3,-1.8
2010 Mercer,5.3,-7.2,-1.9
2010 Montana St.,-2.7,0.8,-1.9
2010 Valparaiso,4.1,-6.1,-1.9
2010 Portland St.,6.6,-8.6,-2
2010 South Dakota St.,3.5,-5.5,-2
2010 San José St,3.3,-5.3,-2
2010 Georgia St.,-5.2,3.1,-2.1
2010 Eastern Michigan,-2.6,0.5,-2.1
2010 Canisius,-1.1,-1,-2.2
2010 TCU,-0.9,-1.3,-2.2
2010 UNC Wilmington,-1,-1.4,-2.4
2010 Manhattan,-2.9,0.5,-2.4
2010 San Diego,-5,2.5,-2.5
2010 James Madison,-1,-1.5,-2.5
2010 Purdue Fort Wayne,-2.1,-0.6,-2.7
2010 Winthrop,-8.6,5.8,-2.8
2010 Youngstown St.,-1.5,-1.4,-3
2010 Bowling Green,-4.8,1.8,-3
2010 South Dakota,4.4,-7.5,-3
2010 Tulane,-4.5,1.4,-3.1
2010 Loyola Chicago,-3.9,0.8,-3.2
2010 UC Riverside,-6.4,3.3,-3.2
2010 Louisiana,-2.5,-0.7,-3.2
2010 Florida Atlantic,2.6,-5.8,-3.2
2010 Arkansas Pine Bluff,-4.9,1.6,-3.3
2010 Ball St.,-7.5,4.1,-3.4
2010 North Dakota St.,0.4,-3.9,-3.5
2010 Tennessee Tech,3.9,-7.5,-3.6
2010 Northern Arizona,-0.5,-3.2,-3.7
2010 Cal St. Northridge,1.8,-5.5,-3.8
2010 Hampton,-5.1,1.4,-3.8
2010 Wyoming,1.3,-5.1,-3.8
2010 Evansville,-3.2,-0.6,-3.8
2010 Hawaii,-5.5,1.6,-3.9
2010 Lafayette,1.4,-5.5,-4.1
2010 Holy Cross,-0.6,-3.6,-4.2
2010 New Hampshire,-6.9,2.6,-4.3
2010 Bucknell,-3.2,-1.2,-4.4
2010 UC Davis,-1.4,-3.1,-4.5
2010 South Alabama,-3.7,-0.9,-4.6
2010 Texas St.,4.1,-8.7,-4.7
2010 Liberty,-3.9,-1,-4.9
2010 Chattanooga,-1.1,-4,-5
2010 Northern Illinois,-0.3,-4.8,-5.1
2010 Jacksonville St.,-1.7,-3.4,-5.1
2010 Furman,-1.9,-3.3,-5.2
2010 Charleston Southern,-3.8,-1.5,-5.2
2010 Army,-10.8,5.5,-5.3
2010 Samford,-11.1,5.7,-5.4
2010 Sacred Heart,1.6,-7.1,-5.5
2010 Yale,-2.6,-3,-5.6
2010 Texas Southern,-3.8,-1.8,-5.6
2010 Western Illinois,-11,5.4,-5.7
2010 Elon,-2.1,-3.6,-5.7
2010 Tennessee St.,-1.1,-4.6,-5.7
2010 Bethune-Cookman,-9.5,3.7,-5.8
2010 Cal Poly,-0.3,-5.5,-5.8
2010 UT Arlington,0.1,-6,-5.9
2010 Rice,-5,-1,-6
2010 Norfolk St.,1.3,-7.3,-6
2010 Santa Clara,-5.6,-0.5,-6.1
2010 UC Irvine,-3.3,-2.8,-6.1
2010 LIU,0.1,-6.3,-6.2
2010 Towson,1.2,-7.5,-6.3
2010 Prairie View A&M,-7.6,1.3,-6.3
2010 UIC,-4.1,-2.2,-6.3
2010 UNC Greensboro,-3.3,-3.1,-6.4
2010 High Point,-1.3,-5.2,-6.5
2010 East Carolina,-0.4,-6.1,-6.5
2010 Colgate,-2.4,-4.1,-6.5
2010 Little Rock,-2,-4.6,-6.6
2010 UNC Asheville,1.4,-8.1,-6.7
2010 Delaware St.,-12,5.2,-6.8
2010 Kansas City,-4.1,-2.9,-7
2010 South Carolina St.,-2.5,-4.5,-7
2010 McNeese,-3.4,-3.6,-7
2010 Navy,-0.2,-6.9,-7.1
2010 Columbia,-8.5,1.4,-7.1
2010 North Carolina A&T,-2.8,-4.3,-7.1
2010 Air Force,-11.6,4.5,-7.1
2010 Delaware,-3.4,-3.7,-7.2
2010 North Florida,-9.2,2,-7.2
2010 American,-7,-0.3,-7.3
2010 Albany,-5.8,-1.6,-7.3
2010 Monmouth,-5.7,-1.6,-7.3
2010 Kennesaw St.,-4.3,-3.1,-7.4
2010 Jackson St.,-6.6,-0.9,-7.5
2010 UL Monroe,-3,-4.5,-7.5
2010 Lamar,-3.5,-4.1,-7.6
2010 Brown,-1.8,-5.8,-7.6
2010 Georgia Southern,0.9,-8.5,-7.6
2010 South Carolina UpSt.,-7.9,0,-7.9
2010 Nicholls,-5.1,-2.8,-7.9
2010 Binghamton,-7.6,-0.5,-8
2010 Central Connecticut,-7.5,-0.6,-8.1
2010 Idaho St.,-2.8,-5.3,-8.1
2010 Florida Gulf Coast,-4.5,-3.8,-8.3
2010 Cal St. Bakersfield,-3.4,-5.1,-8.5
2010 St. Francis (BKN),-8.6,0.1,-8.6
2010 Pepperdine,-3.6,-5,-8.6
2010 Southeast Missouri St.,-5.2,-3.5,-8.7
2010 Longwood,2,-10.8,-8.8
2010 Savannah St.,-11.8,3,-8.8
2010 Eastern Washington,-2.7,-6.1,-8.8
2010 Utah Valley,-8.5,-0.6,-9.1
2010 Penn,-4.7,-4.6,-9.3
2010 Hartford,-6.2,-3.1,-9.3
2010 Alabama St.,-7.3,-2.1,-9.4
2010 Fairleigh Dickinson,-4.8,-4.6,-9.4
2010 Florida International,-1.5,-8.1,-9.5
2010 Central Arkansas,-8.3,-1.3,-9.6
2010 New Orleans,-10.1,0.3,-9.8
2010 Gardner Webb,-2.5,-7.4,-9.9
2010 Northwestern St.,1.1,-11.1,-10
2010 Fordham,-3.3,-6.7,-10
2010 Southern Utah,-5.7,-4.9,-10.5
2010 Centenary,-1,-9.9,-10.8
2010 St. Francis (PA),-6.5,-4.4,-10.9
2010 VMI,11,-22.1,-11.1
2010 Winston Salem,-8.6,-2.5,-11.1
2010 Coppin St.,-8.9,-2.3,-11.2
2010 Sacramento St.,-6.3,-5.1,-11.4
2010 UT Martin,-4.6,-7,-11.5
2010 Maryland-Eastern Shore,-7.3,-4.5,-11.8
2010 Florida A&M,-4.8,-7.1,-11.9
2010 UT Rio Grande Valley,-7.4,-4.8,-12.2
2010 Mississippi Valley St.,-5.6,-6.7,-12.2
2010 Wagner,-8.1,-4.2,-12.3
2010 UMBC,-4.8,-7.5,-12.3
2010 Toledo,-13.1,0.7,-12.4
2010 Presbyterian,-9.6,-3,-12.6
2010 Houston Baptist,-0.7,-11.9,-12.6
2010 Alabama A&M,-7.6,-5.1,-12.8
2010 NJIT,-11.5,-1.7,-13.2
2010 Marist,-11,-2.4,-13.4
2010 North Carolina Central,-9.2,-4.3,-13.5
2010 Dartmouth,-13.7,0.1,-13.6
2010 Stetson,-8.9,-4.7,-13.6
2010 SIU Edwardsville,-7.5,-6.7,-14.1
2010 Howard,-10.1,-4.1,-14.2
2010 Chicago St.,-8.2,-6.6,-14.7
2010 Grambling,-7.3,-7.7,-14.9
2010 North Dakota,-8.2,-6.9,-15.1
2010 Southern,-9.5,-7.6,-17
2010 Bryant,-15.3,-2.9,-18.2
2010 Alcorn St.,-7.3,-13.6,-20.9
2011 Ohio St.,11.4,10.4,21.8
2011 Kansas,13.3,6.5,19.8
2011 Duke,13.7,5.3,19
2011 Pittsburgh,8.8,9.4,18.2
2011 Kentucky,8.7,7.8,16.5
2011 Purdue,7.1,9.1,16.2
2011 Texas,8,8.1,16.1
2011 Wisconsin,3.7,12.2,16
2011 San Diego St.,6.6,9,15.6
2011 North Carolina,11.2,4.2,15.4
2011 Florida,8.6,6.5,15.1
2011 Syracuse,7.2,7.3,14.6
2011 BYU,13.2,0.8,14
2011 Notre Dame,9.8,4.2,14
2011 Louisville,8,5.9,13.9
2011 Belmont,9.1,4.4,13.5
2011 Washington,13.7,-0.2,13.5
2011 West Virginia,4.5,8.4,12.9
2011 Arizona,9.7,3,12.7
2011 Vanderbilt,9.1,3.5,12.7
2011 Illinois,6.4,6.1,12.5
2011 Villanova,7.1,5.2,12.4
2011 UNLV,5.9,6.4,12.2
2011 Maryland,8.2,3.6,11.9
2011 Connecticut,6.8,5,11.8
2011 Georgetown,5.8,5.9,11.7
2011 Missouri,11.1,0.4,11.6
2011 Utah St.,2.9,8.5,11.4
2011 George Mason,5.5,5.6,11.1
2011 Marquette,8.1,3,11.1
2011 Cincinnati,2.1,8.8,10.9
2011 Kansas St.,5.8,5.1,10.8
2011 Temple,4.1,6.6,10.7
2011 Clemson,2.3,8.4,10.7
2011 Florida St.,2.3,8.3,10.5
2011 Xavier,5.2,5.3,10.5
2011 Wichita St.,5.5,4.9,10.4
2011 Saint Mary's,8,2.3,10.3
2011 Gonzaga,7.9,2.4,10.3
2011 Richmond,2.8,7.4,10.2
2011 Butler,5,5.2,10.2
2011 Virginia Tech,3.5,6.4,10
2011 Texas A&M,1.1,8.7,9.8
2011 Michigan St.,4.6,5,9.7
2011 Alabama,-0.1,9.8,9.6
2011 Old Dominion,-0.5,10,9.5
2011 Georgia,3.5,5.8,9.4
2011 Duquesne,8.3,0.9,9.2
2011 Michigan,1.4,7.7,9.1
2011 Tennessee,4.4,4.7,9
2011 Northwestern,6.5,2.4,8.8
2011 Washington St.,5.6,3,8.7
2011 St. John's,4,4.7,8.6
2011 New Mexico,4.8,3.8,8.6
2011 VCU,6.6,1.6,8.2
2011 Miami FL,5.4,2.7,8
2011 Minnesota,3.7,4.3,8
2011 USC,-0.6,8.4,7.9
2011 Mississippi,7.1,0.7,7.7
2011 Seton Hall,2.4,5.4,7.7
2011 Missouri St.,3.6,4.1,7.7
2011 Penn St.,-0.4,7.9,7.5
2011 Baylor,2.6,4.9,7.5
2011 UAB,1.3,6.2,7.5
2011 Charleston,7.5,-0.1,7.4
2011 Nebraska,-1.6,9,7.4
2011 Iona,9.1,-1.7,7.3
2011 Southern Miss,4.8,2.5,7.3
2011 Oakland,13.4,-6.1,7.3
2011 Cleveland St.,2.1,4.5,6.6
2011 Colorado,9.5,-3.1,6.3
2011 Boston College,6.4,-0.1,6.3
2011 Oklahoma St.,2,4.2,6.2
2011 UCLA,3.3,2.7,6
2011 Coastal Carolina,4.2,1.6,5.9
2011 Memphis,4.5,1.3,5.8
2011 UCF,1.2,4.6,5.8
2011 Indiana,3.8,2,5.7
2011 Colorado St.,4.1,1.5,5.6
2011 Georgia Tech,1.9,3.6,5.5
2011 Marshall,4,1.5,5.5
2011 Wofford,4.7,0.6,5.3
2011 Arkansas,3.1,2.2,5.3
2011 NC St.,4.3,1,5.2
2011 Iowa St.,5.2,0,5.2
2011 Morehead St.,-0.1,5.1,5
2011 Austin Peay,4.2,0.8,5
2011 UTEP,2,3,4.9
2011 Harvard,2.2,2.7,4.9
2011 Fairfield,-2.6,7.5,4.9
2011 Iowa,2.3,2.5,4.8
2011 California,5.8,-1,4.8
2011 East Tennessee St.,0.6,4,4.7
2011 Princeton,0.1,4.6,4.6
2011 Rutgers,0.7,3.9,4.6
2011 Northern Iowa,-3.1,7.6,4.5
2011 Virginia,-3.8,8.3,4.5
2011 Drexel,-4.3,8.7,4.5
2011 Dayton,0.6,3.8,4.4
2011 Valparaiso,3.9,0.5,4.4
2011 Stanford,-0.1,4.3,4.2
2011 Providence,8,-3.9,4.1
2011 Murray St.,-0.5,4.5,4
2011 Rider,5.5,-1.6,3.9
2011 South Carolina,1.8,2,3.8
2011 Tulsa,3.1,0.6,3.7
2011 Rhode Island,1.4,2.3,3.6
2011 Vermont,0.1,3.5,3.6
2011 Indiana St.,0.1,3.4,3.6
2011 Boise St.,4.1,-0.6,3.5
2011 Bucknell,-0.2,3.5,3.3
2011 Creighton,1.6,1.7,3.3
2011 James Madison,3.5,-0.4,3.2
2011 LIU,9.8,-6.7,3.1
2011 Kent St.,2.2,0.9,3.1
2011 Akron,1.2,1.9,3
2011 Oregon,2.7,0.2,2.9
2011 Buffalo,0.2,2.6,2.8
2011 Pacific,-2.5,5.1,2.6
2011 Northern Arizona,1.4,1.1,2.5
2011 Stephen F. Austin,-6.1,8.5,2.4
2011 Montana,-3.4,5.8,2.3
2011 Davidson,2.4,-0.1,2.3
2011 Texas Tech,5.9,-3.7,2.2
2011 South Dakota St.,8.1,-6,2.1
2011 Portland,1.6,0.4,2
2011 Arkansas St.,-0.7,2.7,2
2011 Mississippi St.,2.4,-0.4,2
2011 Saint Louis,-5,6.9,2
2011 Northern Colorado,1.9,-0.1,1.8
2011 Lipscomb,5.8,-4.1,1.8
2011 Loyola Chicago,0.8,1,1.7
2011 Detroit Mercy,5,-3.4,1.6
2011 Saint Peter's,-6,7.6,1.6
2011 Furman,-1.1,2.7,1.6
2011 Arizona St.,-2.3,3.9,1.6
2011 Wright St.,-4.1,5.6,1.5
2011 Long Beach St.,3.7,-2.4,1.4
2011 Oral Roberts,4.1,-2.7,1.3
2011 South Florida,-3.7,5,1.3
2011 Milwaukee,1.8,-0.5,1.3
2011 UNC Asheville,2.6,-1.7,0.9
2011 IUPUI,1.9,-1,0.9
2011 UC Santa Barbara,-1.3,2.3,0.9
2011 St. Bonaventure,1.3,-0.5,0.9
2011 Santa Clara,3.1,-2.3,0.8
2011 Ohio,5.3,-4.6,0.7
2011 Hofstra,2.9,-2.2,0.7
2011 North Texas,5.1,-4.4,0.7
2011 East Carolina,0.6,0,0.6
2011 Weber St.,0.3,0.1,0.4
2011 Jacksonville,-1,1.4,0.4
2011 Evansville,-0.9,1.3,0.4
2011 Ball St.,-1.9,2.3,0.4
2011 Robert Morris,-2.2,2.6,0.4
2011 Massachusetts,-1,1.3,0.3
2011 Western Michigan,1.8,-1.6,0.2
2011 Oklahoma,-1,1.1,0.1
2011 Boston University,-1.6,1.7,0.1
2011 Utah,0.1,0,0.1
2011 Rice,-1,1,0.1
2011 Tulane,-1.3,1.3,0
2011 La Salle,7.6,-7.7,-0.1
2011 North Dakota St.,2.9,-2.9,-0.1
2011 George Washington,-3.2,3.1,-0.1
2011 Charleston Southern,2,-2.1,-0.1
2011 Purdue Fort Wayne,1.6,-1.8,-0.2
2011 Quinnipiac,1.5,-1.7,-0.2
2011 Lamar,7.6,-7.8,-0.2
2011 Tennessee Tech,2.9,-3.1,-0.2
2011 Green Bay,-0.6,0.2,-0.4
2011 Eastern Kentucky,-2.7,2.3,-0.4
2011 Central Connecticut,-0.8,0.4,-0.4
2011 Canisius,-1.2,0.7,-0.5
2011 Middle Tennessee,-1.6,1.1,-0.5
2011 Maine,0.3,-0.8,-0.6
2011 Idaho,-1.2,0.6,-0.7
2011 Hawaii,-0.9,0.2,-0.7
2011 Western Carolina,-0.2,-0.5,-0.7
2011 New Mexico St.,2,-2.7,-0.7
2011 Loyola MD,-0.2,-0.6,-0.8
2011 American,-4,3.2,-0.8
2011 Nicholls,-5.8,4.9,-0.8
2011 Fresno St.,-2.1,1.1,-1
2011 VMI,12,-13,-1
2011 Oregon St.,0.9,-2,-1.1
2011 SMU,-5.7,4.6,-1.1
2011 Bradley,-1.2,0.1,-1.1
2011 San Francisco,0,-1.3,-1.3
2011 Sam Houston St.,-1.6,0.4,-1.3
2011 San José St,3,-4.3,-1.3
2011 Penn,-1.4,0.1,-1.4
2011 Western Kentucky,0.7,-2.1,-1.4
2011 McNeese,2.4,-3.8,-1.4
2011 Cal Poly,-9.5,8.1,-1.4
2011 Florida Atlantic,-1.2,-0.2,-1.5
2011 TCU,0,-1.6,-1.6
2011 Miami (OH),-1,-0.6,-1.6
2011 Siena,0.3,-2,-1.7
2011 Air Force,-4.2,2.5,-1.7
2011 Yale,-1.8,0,-1.8
2011 Northeastern,0.4,-2.2,-1.8
2011 Nevada,0.6,-2.5,-1.9
2011 Charlotte,0.4,-2.3,-1.9
2011 Tennessee St.,-0.7,-1.4,-2.1
2011 Lehigh,3.1,-5.2,-2.1
2011 UC Davis,2.2,-4.4,-2.2
2011 Little Rock,-1.6,-0.6,-2.2
2011 LSU,-5,2.7,-2.3
2011 Winthrop,-4.4,2.1,-2.3
2011 Saint Joseph's,-1.8,-0.6,-2.4
2011 Cornell,0.1,-2.5,-2.4
2011 Liberty,-3.6,1.2,-2.4
2011 Southern Illinois,-5.2,2.8,-2.5
2011 William & Mary,-2.5,0,-2.5
2011 Delaware,-3.7,1.2,-2.5
2011 Houston,-0.3,-2.3,-2.6
2011 Mercer,-1.3,-1.3,-2.6
2011 Drake,-2.2,-0.4,-2.6
2011 Utah Valley,0.1,-2.9,-2.7
2011 Appalachian St.,1.8,-4.6,-2.7
2011 St. Francis (BKN),-2.8,0.1,-2.7
2011 Illinois St.,-5.9,3.1,-2.8
2011 UC Irvine,4.2,-7,-2.8
2011 SE Louisiana,-1,-1.9,-2.8
2011 Hampton,-4.8,2,-2.9
2011 Cal St. Northridge,-0.1,-2.9,-3
