team_year,2p%_off,3p%_off,eff_off,ft%_off,2p%_def,3p%_def,eff_def,ft%_def
2022 Kansas,54.5,35.5,111.605,72.4,47.9,30.1,97.191,70.7
2023 Kansas,52.9,34.4,106.078,71.7,47.2,31.2,96.3488,72.3
2008 Kansas St.,50.2,32.4,108.293,69.5,44.7,36.8,95.0426,65.5
2010 Kansas St.,49.2,35.7,109.484,66.5,45.6,33.1,95.5026,69.3
2011 Kansas St.,46.5,37.4,105.024,65.1,45.1,34.7,95.9404,70.6
2012 Kansas St.,48.5,34.2,103.96,66.6,44.9,31.8,92.851,68.5
2013 Kansas St.,46.8,35.9,107.869,68.9,46.5,33.1,96.6436,68.2
2014 Kansas St.,48.4,33.4,105.093,65.8,46,29.4,98.3715,68.5
2017 Kansas St.,51.5,36.1,105.897,69,44.6,38.3,98.5579,71.9
2018 Kansas St.,54.6,34.4,108.258,74.3,49.3,33.2,101.624,74.2
2019 Kansas St.,49,33.6,101.553,66.4,49.1,31.2,91.5612,66.6
2023 Kansas St.,51.8,34,104.952,75,48.8,30.1,95.7969,69.2
2023 Kennesaw St.,51.3,37.1,105.334,66.3,50.5,34.8,101.312,69.2
2008 Kent St.,51.4,37.6,106.008,70.6,45.6,31.7,94.0743,67.6
2017 Kent St.,48.6,31.4,105.728,71.7,47.9,35,101.445,70.2
2023 Kent St.,52.2,33.2,108.778,72.3,47.8,30.9,95.6199,72.4
2008 Kentucky,51.5,36.8,102.867,73.4,43,32.4,97.6336,70.3
2010 Kentucky,53.8,34.1,111.703,67.9,41.4,31.7,92.007,70.1
2011 Kentucky,49,39.7,113.602,71.8,41.6,33.2,94.8943,71.7
2012 Kentucky,52.5,37.1,115.593,72,38.8,32.1,89.0214,68.8
2014 Kentucky,50,32.5,112.311,68.2,44,31.7,98.75,68.5
2015 Kentucky,51.5,35,115.91,72.2,39.1,27.4,83.6596,65
2016 Kentucky,52.8,37,116.122,68.3,43,33,99.1131,69.9
2017 Kentucky,53.4,35.3,114.251,70.2,48,30.7,95.2333,67.3
2018 Kentucky,50.9,36.1,109.59,69.7,48.4,29.9,100.553,69
2019 Kentucky,52.7,36.4,112.784,74,43.6,35,95.68,70.6
2022 Kentucky,53.7,34.9,114.407,73,47.2,30.3,95.4126,71.5
2023 Kentucky,50.4,35.4,111.767,70.3,48.3,33.1,101.192,74.4
2013 La Salle,49.1,37.1,107.345,73.8,50.6,29.9,97.857,69.5
2015 Lafayette,53,41.4,113.655,76.5,50.8,37.6,111.764,70
2012 Lamar,45.6,33.2,104.793,72.4,45.2,34,94.6232,67.1
2010 Lehigh,48,40,107.245,71.6,46.4,34.4,99.2673,71.2
2012 Lehigh,49.7,35.5,108.789,77.4,45.7,33.3,93.7116,70.6
2013 Liberty,45,36.7,100.693,73.3,48.4,30.5,105.903,70.2
2019 Liberty,56.9,36.6,111.547,77.9,48.4,32.9,95.7813,66.7
2021 Liberty,56.8,38.8,113.773,77.8,47.8,32.2,96.5376,69.7
2018 Lipscomb,53.5,33,104.015,72.5,52.6,33.5,100.682,69.9
2011 LIU,51.2,36.6,110.06,64.5,49.7,30,98.5844,65.3
2012 LIU,52.3,36.8,107.715,73.1,49,32.8,101.559,69.5
2013 LIU,53.4,38.5,112.364,69,51,37.3,107.894,67.7
2018 LIU,52.3,34.8,105.478,69.6,50.4,32.7,105.473,69.4
2012 Long Beach St.,52,35.8,108.674,67.1,45.7,34.2,94.6276,69.4
2022 Longwood,48,38.6,108.965,72.4,53.6,31.1,98.0629,74
2014 Louisiana,49.9,37.4,110.051,66.5,50.3,33,104.91,70.2
2023 Louisiana,52.2,36.6,109.745,67.2,49.2,35.9,102.034,70.5
2008 Louisville,52.5,34.2,106.523,65.5,42.3,31,90.9933,68.2
2009 Louisville,50.5,36,105.801,64.3,43.2,30.4,88.4266,67.9
2010 Louisville,51.9,33.9,110.269,70.3,46.6,34.3,100.703,70
2011 Louisville,51.5,36.1,107.678,66.9,43.8,30.6,92.8978,69.8
2012 Louisville,48.1,31.1,99.3696,68.6,41.3,30.8,88.5398,66.1
2013 Louisville,49.5,33.1,108.622,71.1,42.7,31.2,85.2644,64.8
2014 Louisville,53,37.1,118.693,65.9,43.9,29.1,88.0889,67.7
2015 Louisville,48.9,30.4,103.478,66,43.3,29.3,89.9282,65.2
2017 Louisville,50.2,35.9,111.775,68.5,44.4,30.9,95.3237,69.1
2019 Louisville,50.6,34.2,107.243,77.5,45.7,31.7,97.6744,69.7
2018 Loyola Chicago,56.5,40,108.717,72.5,46.3,32.6,93.9293,70
2021 Loyola Chicago,58,35.7,110.218,73.3,45.5,32.5,87.2641,70.1
2022 Loyola Chicago,55.8,38,109.986,71.8,46.9,31.5,92.9722,73.3
2012 Loyola MD,46,34,102.811,71.8,45.3,36.1,96.8025,68.4
2009 LSU,47.5,36.9,108.799,71.8,44.4,31.1,95.0848,68.8
2015 LSU,50.3,33.9,103.515,68.9,43.6,31.3,95.1887,66.2
2019 LSU,53.4,32.3,112.474,75.4,49.7,34.1,100.645,68.8
2021 LSU,53,35,112.749,74.7,51.3,30,103.154,70.6
2022 LSU,50.5,31.9,102.61,73.2,47.7,28,89.6727,69
2014 Manhattan,48.9,36.7,107.54,66.2,44.2,32.7,97.2794,69.7
2015 Manhattan,48.9,34,101.28,69.4,47.9,32.2,97.7926,70.3
2008 Marquette,49.1,35.9,109.304,70.1,46.6,29.5,92.9481,67.8
2009 Marquette,51.3,34.9,113.189,72,50.1,35,99.0492,67.1
2010 Marquette,47.9,40.6,111.318,74,50,31.7,98.3209,68.1
2011 Marquette,50.9,35.2,110.602,69.1,47.6,36.3,101.177,65.7
2012 Marquette,51,33.7,106.246,72.1,44.7,32.1,92.9743,67.7
2013 Marquette,52.8,30.1,106.292,72.3,45.3,31.8,96.9634,68.4
2017 Marquette,52.7,43,115.653,77.9,50.2,36.9,105.356,69.8
2019 Marquette,50.5,39.3,108.714,75.9,44.8,31.9,96.7389,68.2
2022 Marquette,52.9,34.7,103.451,74.7,46.2,31.7,98.5096,69.9
2023 Marquette,58.8,34.8,113.246,72.1,50,35.2,100.116,69.8
2018 Marshall,56.2,35.5,108.999,76.6,48.5,34.8,102.915,67.8
2009 Maryland,45.7,33.1,103.206,76.8,45.5,34.4,98.943,68.4
2010 Maryland,49.9,38.8,111.617,72.3,41.7,33.2,96.108,70
2015 Maryland,47.8,37.2,106.605,75.7,44.6,31.2,97.3302,66
2016 Maryland,55.2,37.6,112.511,75.9,45.7,32.3,99.0853,70
2017 Maryland,50.9,36.7,108.151,70.1,45.3,34,100.798,70.4
2019 Maryland,51.3,35.3,107.334,74.8,44.7,32,98.4651,71.9
2021 Maryland,52.8,34.9,103.219,70.3,46.4,34.3,99.3084,71.7
2023 Maryland,52,33,109.025,73.9,47.7,32.1,97.5818,72.7
2014 Massachusetts,50.1,34.7,105.606,68.2,46.2,31.3,98.03,67.1
2008 Memphis,53.3,35,112.778,59.6,41.6,29.8,85.6765,67.3
2009 Memphis,49.9,32,108.992,69.6,39,29.3,83.4843,68.9
2011 Memphis,51,32.7,102.813,67.9,45.3,33.2,97.3981,67.6
2012 Memphis,54,36.9,109.124,72,41.8,31,91.1259,69.3
2013 Memphis,51.8,37.9,107.78,66.6,43.5,33.5,92.5289,67.6
2014 Memphis,52.7,33.5,107.885,65.3,48.8,31,98.7813,65
2022 Memphis,52,35.9,105.619,69.2,45.3,32.1,96.197,70
2023 Memphis,53.1,35.6,108.548,74.7,47.2,30.8,97.6969,73.9
2014 Mercer,51.3,38.8,113.08,73.5,46.8,30.6,97.853,68.8
2013 Miami FL,51.5,35.8,108.209,67.7,43.8,32.6,93.9237,65
2008 Miami FL,45.9,37.8,107.232,74.7,44,35,98.8707,67.6
2016 Miami FL,53.4,36.6,113.767,75.1,46.9,33.6,101.002,70.7
2017 Miami FL,49.9,35.9,106.563,71.8,45.9,33.1,98.2915,73.6
2018 Miami FL,52.2,36.3,107.873,66.3,48.7,32.6,99.1152,71.7
2022 Miami FL,54.9,35.3,110.368,74.3,53.9,35.2,104.983,69.1
2023 Miami FL,54.9,36.8,114.539,77.6,51.8,33.6,104.044,74.5
2009 Michigan,50.9,33.2,105.636,75.4,50.2,31.7,100.806,72.6
2011 Michigan,50.9,35.4,105.662,70,48.9,32.7,101.198,67.7
2012 Michigan,54.2,35.3,106.783,72.2,46.9,35,99.6232,71.3
2013 Michigan,53.5,37.5,115.602,71,46.9,33.2,97.5973,68.1
2014 Michigan,53.1,39.4,117.142,76.1,50.4,32.1,103.024,73.3
2016 Michigan,52.9,38.4,112.432,73.9,50.7,34.7,102.956,72.9
2017 Michigan,56.7,38.1,116.209,77.5,49.7,37.8,101.796,68.1
2018 Michigan,54.3,36.4,111.172,65.7,47,34.3,96.4552,71.3
2019 Michigan,51.8,35,107.986,69.8,44.5,28.9,89.8084,65.6
2021 Michigan,53.3,38.7,112.349,77.8,42.3,33.5,96.3266,74.9
2022 Michigan,53,34,108.005,74.6,50.8,33,103.654,72.9
2008 Michigan St.,51.4,37.3,110.648,73.1,45.2,31.7,96.6843,65.7
2009 Michigan St.,49.1,35.3,108.114,68.6,47.3,32,94.5144,69.7
2010 Michigan St.,52.1,33.3,108.383,68.1,45.3,32.5,95.439,71.5
2011 Michigan St.,46.9,34.8,102.307,69.7,44.7,36.3,100.085,66.3
2012 Michigan St.,51.9,36.5,108.631,69.8,42.6,29.2,89.3821,70.5
2013 Michigan St.,50.4,34.4,105.282,71,44.8,30.2,92.8299,66.2
2014 Michigan St.,52.1,39.1,113.386,69.3,44,33.2,97.9993,71.8
2015 Michigan St.,51.6,38.6,110.854,63.3,44.1,32.3,97.91,71.7
2016 Michigan St.,51.1,43.4,118.21,73,41.3,30.2,93.8883,71.7
2017 Michigan St.,52.4,37.6,104.856,66.4,43.5,34.7,99.8615,72.2
2018 Michigan St.,55.5,41.3,117.987,75,38.4,33.3,94.8872,72.4
2019 Michigan St.,54.8,38.4,114.269,75,41.3,31.8,95.0157,67.9
2021 Michigan St.,47.8,32,99.5046,72.1,48.1,31.5,102.259,71.5
2022 Michigan St.,49.7,37.8,105.927,74.7,47.9,31.2,100.988,70.9
2023 Michigan St.,47.7,39.5,105.971,76.2,48.6,31.5,101.594,72.1
2013 Middle Tennessee,49.4,37.8,107.45,69.3,43.9,29.6,87.3946,63.2
2016 Middle Tennessee,48.2,38.9,104.147,60.7,47.2,34.1,98.3849,66.8
2017 Middle Tennessee,53.8,37,111.884,70.1,46.8,32.5,95.4354,70.8
2014 Milwaukee,49.8,33,103.161,73.3,50,31.6,103.862,74.6
2009 Minnesota,49.8,33,103.143,71.8,43.3,34.9,95.6626,73.1
2010 Minnesota,50.5,40.4,108.613,70.2,44,34,96.248,68.2
2013 Minnesota,49.1,32.6,107.623,68.5,42.6,33.9,97.2391,68.9
2017 Minnesota,47.3,34.5,104.14,70.7,44.5,30.5,95.8428,68.3
2019 Minnesota,48.4,32.1,103.298,67.9,48.3,33.9,101.467,68.6
2013 Mississippi,49.3,33,108.453,68.4,46.4,31.3,94.1225,66.1
2015 Mississippi,46.9,33.8,108.54,77.8,43.4,34.9,100.598,68.4
2019 Mississippi,52.6,35.8,108.408,78.3,47.8,37.2,101.248,70
2008 Mississippi St.,53.5,33.4,104.708,64.4,39.4,32,93.5734,69.2
2009 Mississippi St.,47.8,36.1,104.167,70.4,42,33.9,97.1305,65.2
2019 Mississippi St.,53.3,37.8,111.932,71.5,48.5,35.3,101.401,71.2
2023 Mississippi St.,50.5,26.6,100.199,64.7,46.2,30.8,92.6099,71.9
2008 Mississippi Valley St.,41.5,35.2,93.0497,67.2,50.9,31.3,101.045,65.6
2012 Mississippi Valley St.,44.8,32.8,97.1241,65,46.1,38.8,97.5394,65.7
2009 Missouri,52.4,35.8,111.229,66.8,46.3,30.8,91.3725,66.7
2010 Missouri,47.7,37.1,107.124,72.8,45.3,30.8,91.6689,70
2011 Missouri,50.5,36.4,109.681,73.6,48.1,34.3,97.9669,69.2
2012 Missouri,56.9,39.5,119.558,76.6,47.6,36.2,97.6986,67.6
2013 Missouri,51.4,34,111.014,73.9,44,32.9,96.0797,67.8
2018 Missouri,50.8,39.2,108.104,74.6,45.6,32.3,100.751,72.9
2021 Missouri,52.6,32,103.256,69.8,48.3,32.7,101.07,71.1
2023 Missouri,55.9,36.1,112.445,75.8,51.7,35.4,105.612,75.2
2010 Montana,52,39.8,108.574,72.2,44.6,36.5,97.5412,66.1
2012 Montana,50.8,38.3,106.065,72,43.3,32.4,92.6097,69.3
2013 Montana,52.5,37.8,108.559,76.7,47.8,33.1,100.819,70.4
2018 Montana,51.9,34.1,110.016,71.5,46.1,35.3,96.8396,72.3
2019 Montana,56.2,38.3,111.502,69.6,49,34.6,100.898,74.5
2022 Montana St.,53.2,37.2,108.242,74.8,48.2,32.8,98.3861,75.8
2023 Montana St.,52.4,32,105.386,76.3,48,34.8,99.0737,74
2009 Morehead St.,47.9,32.7,103.511,72.4,45.5,35.7,102.494,68.5
2011 Morehead St.,50.5,34.9,105.992,67.4,45.7,36.9,95.9971,69.7
2021 Morehead St.,51.8,34.7,100.374,68.3,47.6,30.7,94.537,67.9
2009 Morgan St.,45.5,34.1,101.262,64.8,43.8,30.1,92.9463,69.2
2010 Morgan St.,46.8,33.8,107.806,70.3,45.6,32.7,98.5324,67.1
2008 Mount St. Mary's,48.1,36.7,100.76,69.6,45.7,32.1,97.0421,70.3
2014 Mount St. Mary's,50.4,35.6,108.139,74.1,54.3,33.6,110.209,73.2
2017 Mount St. Mary's,49.5,35.7,99.3625,67.5,48.8,34.4,99.4208,66
2021 Mount St. Mary's,47.7,33.7,98.9687,67.8,45.6,30.1,97.0309,78.4
2010 Murray St.,55.4,37.2,112.056,70.3,40.9,34,90.0948,69.9
2012 Murray St.,51.3,40.7,110.289,72.8,46.7,29.5,92.4694,66.5
2018 Murray St.,54.5,37.4,114.708,72.8,47.2,30.8,97.5056,72.2
2019 Murray St.,57.2,34.4,114.766,74.1,48.4,28.5,96.0872,71.9
2022 Murray St.,53.5,34.7,113.009,69.8,50,30.1,92.0871,67.6
2013 NC St.,52.5,39.3,112.277,68.3,47.4,29.9,101.674,73.1
2014 NC St.,51.3,30.3,108.169,66.1,47.1,32,106.233,72.1
2015 NC St.,47.4,36.1,108.152,68.5,43.6,33.2,101.056,70.3
2018 NC St.,52.1,37.2,111.861,70,53.5,31.6,103.121,69.7
2023 NC St.,51.5,34.9,111.298,72,50.6,32.2,101.235,73.4
2012 NC St.,50.1,35.5,106.777,70.8,45.7,33.8,98.7679,71.1
2014 Nebraska,47.1,33.9,102.429,71.9,47.6,31.9,99.169,67.4
2017 Nebraska,45.3,31.8,99.0719,70.7,47.5,40.7,105.336,69.8
2017 Nevada,49.3,38.5,112.28,70.3,48.9,30.7,99.7493,68.6
2018 Nevada,51.6,39.8,116.286,74.7,50.7,31.2,101.735,71
2019 Nevada,55.1,35.1,113.948,70.8,46,33.4,94.465,67.2
2023 Nevada,50.3,33.8,106.46,79.2,49.3,32.5,99.3311,73.7
2010 New Mexico,47.9,37.5,111.766,67.7,49.1,33.1,97.6778,67.7
2012 New Mexico,50.1,38.5,107.652,71.3,42.8,30.9,88.6402,68.2
2013 New Mexico,46.2,35.4,103.444,72.2,41.7,34.3,92.598,66.9
2014 New Mexico,51.8,33.7,111.799,72.7,41.4,34.4,99.3433,72.5
2010 New Mexico St.,51.7,37.4,108.915,70.1,50.1,35.7,108.027,68.9
2012 New Mexico St.,51.3,32.8,108.125,66.4,47.7,32,95.185,66.2
2013 New Mexico St.,50.3,32.6,103.371,65.8,43,33.8,95.6278,71.1
2014 New Mexico St.,53.2,36.2,113.903,68.6,42.8,33.1,100.01,73.1
2015 New Mexico St.,49.7,36.3,107.386,70.7,46.4,29.5,94.2235,69.4
2017 New Mexico St.,54.5,33.4,110.733,70.9,48.7,30,97.215,67.7
2018 New Mexico St.,52.3,34,107.914,64.3,45,30.8,92.5302,72.1
2019 New Mexico St.,56.4,34.2,113.701,67.3,47.9,33.3,95.2348,71.1
2022 New Mexico St.,54.1,33,104.869,69.5,45.8,30,96.0926,74.2
2017 New Orleans,51.2,31.1,101.904,71,51.7,31.2,99.4903,69.2
2012 Norfolk St.,50.9,31.4,99.7367,65.7,45.3,30.5,95.81,67.1
2021 Norfolk St.,46.1,37.4,104.011,70.9,47.2,31.7,97.4792,69.3
2022 Norfolk St.,51.3,34.5,103.718,69.5,46.3,29.1,93.6633,64.8
2008 North Carolina,51.2,37.8,115.213,75.4,47,33.2,94.7521,66.5
2009 North Carolina,51.5,37.3,117.352,76.6,44.7,35,96.1566,69.4
2011 North Carolina,48.9,33.3,105.296,66.3,44.5,32.7,93.3377,65
2012 North Carolina,49.6,34,111.181,68.2,43.5,31.9,91.2598,67.3
2013 North Carolina,46.9,37,106.13,67.3,45.9,34.9,96.8499,69.9
2014 North Carolina,49.6,33.6,107.984,62.5,46.2,31.3,97.9093,66.5
2015 North Carolina,51.3,34.5,111.24,70.1,45.7,29.8,98.154,68.7
2016 North Carolina,53.9,31.4,116.284,73.8,43.7,36,98.6807,69.9
2017 North Carolina,51.1,36.7,116.337,70.7,46.7,34.2,98.192,72
2018 North Carolina,51.1,36.4,114.305,74.1,45,38.3,102.487,68.3
2019 North Carolina,51.9,36.5,112.438,74.2,47.5,32.9,95.8954,68.3
2021 North Carolina,48.9,31.7,105.059,66.8,46.8,34.4,96.582,69.4
2022 North Carolina,50.7,36.2,109.416,77.2,48.3,34.9,100.974,73.7
2013 North Carolina A&T,45.1,30.2,92.0001,65.6,42.5,31.8,91.2882,65.2
2014 North Carolina Central,50.8,32.6,110.774,72.6,42.2,30.3,91.1249,69.1
2017 North Carolina Central,53,33.3,107.657,69.3,45.9,29.1,93.6945,63.1
2018 North Carolina Central,51.9,33.2,103.453,68.2,48.2,33.1,103.512,72.4
2019 North Carolina Central,51.7,31.1,100.502,70.4,50.9,31.6,100.749,68.8
2017 North Dakota,51.6,38.4,106.471,73.2,49.4,34.8,100.326,68.6
2009 North Dakota St.,51.8,40.2,114.666,74.2,48.3,35.7,99.967,71.5
2014 North Dakota St.,56,34.9,116.89,75.4,46.8,37.5,105.246,75.4
2015 North Dakota St.,45.1,37.8,103.552,69.4,44.4,36.4,98.9607,74.7
2019 North Dakota St.,52.4,36.8,108.198,76.5,52.9,36.6,110.054,74.6
2015 North Florida,51.1,38,109.633,72.8,48.1,31.5,101.308,67.7
2010 North Texas,51.5,33.1,104.924,71.8,47,32.7,100.028,71.2
2021 North Texas,52.9,37.3,103.916,73.5,44.8,31.6,92.9394,72.6
2015 Northeastern,52.9,38.8,107.202,72.4,48.7,34.4,101.07,68.7
2019 Northeastern,56.4,38.8,112.969,75.1,52.5,33.6,104.428,73.1
2011 Northern Colorado,45.4,38.4,106.39,77.2,46.1,35,99.4488,71.2
2009 Northern Iowa,51.9,34.5,108.346,75.6,46.2,35.3,102.305,71.1
2010 Northern Iowa,47.7,35.3,106.921,75.4,44.3,33.2,91.4167,69
2015 Northern Iowa,53.9,39.7,112.497,72.6,43.8,31.6,92.7107,71.5
2016 Northern Iowa,51.5,37.2,105.503,75.4,48.5,32.6,98.1641,72.3
2017 Northern Kentucky,51.9,36.1,106.891,67.6,50.1,32.8,102.563,70.9
2019 Northern Kentucky,55.3,36.4,111.424,67,49.5,31.9,100.467,72.8
2023 Northern Kentucky,47.7,35.2,104.474,70.4,48.9,36.7,100.362,70.2
2017 Northwestern,48.9,34.1,107.189,75.1,43.9,33.5,98.4895,66.7
2023 Northwestern,46.5,32.1,102.638,75.1,46.6,33.9,95.4446,67.7
2013 Northwestern St.,50.2,31.4,105.923,69,46.5,34,98.6185,63
2008 Notre Dame,48.4,41,112.861,73.6,44.7,34.1,98.1502,64.6
2010 Notre Dame,51.5,39.4,116.815,72.3,47.7,35.1,105.859,74.4
2011 Notre Dame,51.2,39.2,115.826,72.5,43.7,35,100.42,71.3
2012 Notre Dame,49.1,32.9,104.73,70.8,45.1,31,97.0725,70.8
2013 Notre Dame,50.5,37.3,110.33,70.7,45.7,32.2,99.1734,68.9
2015 Notre Dame,58.4,39.2,121.259,74,47.4,32.9,101.407,70.2
2016 Notre Dame,52.5,36.9,115.106,73.5,45.5,37.6,107.796,72
2017 Notre Dame,51.3,38.6,114.424,79.9,48.1,33.7,101.671,73
2022 Notre Dame,52,37.8,108.378,75.9,49.9,31.7,100.674,69.3
2010 Oakland,50,32,106.79,71.5,49.7,33.9,102.102,67.6
2011 Oakland,55.8,37.7,116.945,71.8,47.5,36.1,105.125,72.3
2010 Ohio,46.3,35.8,104.266,73.3,46.2,30.4,97.5162,70.3
2012 Ohio,48.4,33.3,103.565,68.1,48.2,30.3,92.5098,71.6
2021 Ohio,56.4,36.6,112.226,70.6,51.6,33.7,102.559,76.6
2009 Ohio St.,54.1,37.9,107.872,70,44.9,35.2,99.9425,69.3
2010 Ohio St.,55.5,38.8,113.734,68.9,45,34.3,94.2241,70.6
2011 Ohio St.,53.2,41.3,119.336,70.5,47.1,33.9,93.5864,72.8
2012 Ohio St.,53.8,32.6,110.99,69.8,45.3,32.2,88.3204,68.9
2013 Ohio St.,50,35.1,108.622,69.3,43.6,32,91.1903,69.8
2014 Ohio St.,51,32.6,106.678,68.9,45.7,29.4,91.1081,71
2015 Ohio St.,53.9,37.2,113.772,67.8,45.8,31.8,94.6393,69.7
2018 Ohio St.,55.1,35.3,111.339,72.6,46,34.6,97.878,70.3
2019 Ohio St.,49.9,34.3,103.341,73.4,47.4,33,98.9532,74.4
2021 Ohio St.,52.1,36.5,113.532,76.3,47.4,34.1,104.295,70.6
2022 Ohio St.,54,37.3,112.068,76,46.2,34,103.964,73.4
2008 Oklahoma,49,34.8,103.673,68.1,45.4,31.9,96.7102,73.8
2009 Oklahoma,55.8,35.8,113.677,68.1,42.9,34.1,97.2826,68.1
2013 Oklahoma,47.5,32.6,105.529,76,46.5,32.7,98.3411,68.6
2014 Oklahoma,49.3,37.8,113.353,75,48.6,34,104.559,70.9
2015 Oklahoma,48.4,34.3,104.826,73.5,42.4,30.9,91.3524,65.4
2016 Oklahoma,48.1,42.6,111.285,72.8,44,34,97.6891,67.8
2018 Oklahoma,53.4,36.3,109.892,74.8,49.5,36.1,105.885,70.8
2019 Oklahoma,49.6,34.2,101.398,69.1,45,33.3,98.1919,67.4
2021 Oklahoma,50.8,33.8,106.109,74.4,46.3,35.4,98.5625,73.5
2009 Oklahoma St.,50.8,38.4,111.321,74.3,49.1,34.3,101.399,69.8
2010 Oklahoma St.,52,35.2,107.342,71.5,44.8,36.4,98.4707,68.8
2013 Oklahoma St.,49.6,31.6,105.782,75,42.5,32.2,91.5887,68.8
2014 Oklahoma St.,51.5,36.8,113.295,72.4,44.8,32.2,97.3924,69
2015 Oklahoma St.,49,34.6,103.183,73.1,43.5,34.3,97.5475,68.4
2017 Oklahoma St.,50,40.3,116.954,78.7,52.5,35.5,107.54,72.3
2021 Oklahoma St.,52.8,33.8,103.792,71.3,46.9,31.7,98.1737,70.8
2010 Old Dominion,49.4,31.6,105.817,64.5,45.4,30,89.6823,66.4
2011 Old Dominion,48.4,32.9,107.864,66.4,42.5,37,95.1762,62.1
2019 Old Dominion,44.6,35.3,101.139,66,43.4,32.5,93.0411,66.7
2008 Oral Roberts,47.7,36.7,105.196,66.7,42.3,33.6,94.2186,75.4
2021 Oral Roberts,49.7,38.8,108.965,82.6,49,35.6,106.738,70.2
2023 Oral Roberts,56.6,37,116.53,78.4,46.6,34.2,99.0034,71.9
2008 Oregon,53.9,40.1,112.417,68.9,50.1,33.6,106.866,69.3
2013 Oregon,49.4,32.3,102.319,71,44.2,34.3,90.3297,68.2
2014 Oregon,50.7,39.2,114.697,76.6,49.7,32.3,103.295,70.9
2015 Oregon,50.6,36.7,108.976,76.7,46.8,33.3,103.417,69.6
2016 Oregon,52.2,35.1,112.707,71.5,46.2,36.4,99.622,70.3
2017 Oregon,54.8,37.9,113.722,70.6,45.8,31.1,95.081,71.5
2019 Oregon,51.9,34.3,106.247,71.9,49,29.4,94.5948,70.3
2021 Oregon,52.9,37.9,109.767,70.4,49.9,33.6,99.8891,76.3
2016 Oregon St.,47.1,37.3,104.95,68.1,49.5,32.8,102.881,69
2021 Oregon St.,46.9,34.6,104.37,76,52.5,31.4,104.538,73.2
2013 Pacific,47.1,39.1,105.769,70,48.3,34.7,102.672,71
2018 Penn,53.7,34.7,105.352,66.3,48.1,29.7,96.7516,73.9
2011 Penn St.,49.6,33.6,105.586,72.5,47.9,36.7,104.354,69.2
2023 Penn St.,53.5,38.5,109.964,73.8,48.8,33.3,104.26,70.4
2008 Pittsburgh,51,34.3,111.22,65.6,47.3,32.8,99.201,68.9
2009 Pittsburgh,53.3,35.7,116.603,67.3,45.3,33.5,96.1493,69.2
2010 Pittsburgh,48.8,34.3,106.642,69.5,43.6,31.3,96.3626,65.6
2011 Pittsburgh,50.6,39,116.073,67.2,43.3,32.6,95.5812,67.1
2013 Pittsburgh,51.6,36,114.701,66.4,43.6,31.2,91.251,71.7
2014 Pittsburgh,50,35.6,112.86,71.1,45.3,33.1,97.5045,70.5
2016 Pittsburgh,50.7,35.1,112.668,75.8,48.7,35.8,102.873,66.4
2023 Pittsburgh,52.7,36,111.897,76.1,48.6,33.4,103.731,71
2008 Portland St.,51.2,39.9,108.842,67.1,49.4,34.2,100.58,72.5
2009 Portland St.,51,37.6,109.386,67.9,50.1,34.5,101.498,71
2019 Prairie View A&M,49.6,31.5,103.12,68.1,53.5,30.8,99.7542,69.3
2011 Princeton,50.3,37.3,106.251,73.4,45.8,33,97.4252,72.4
2017 Princeton,50.4,38.1,109.696,73.6,47.2,34.4,95.041,69.9
2023 Princeton,53.5,34,108.055,71.3,47.2,33.1,99.565,68.9
2014 Providence,46,35,109.064,78.1,48.7,32.9,103.506,68.9
2015 Providence,49.4,31,106.002,71,47,33.3,99.2507,68.8
2016 Providence,48.1,32.1,104.928,72.7,49.2,32.1,98.7422,71.7
2017 Providence,49.1,36.8,103.256,69.1,50,32.7,98.2869,67.3
2018 Providence,49.5,33.3,104.379,70.3,51.3,32.1,102.961,73.7
2022 Providence,49.6,34.3,106.471,72.6,46.6,31.2,99.604,70.9
2023 Providence,50.9,35.1,111.864,74.5,49.6,33.9,102.675,74.4
2008 Purdue,45.3,37,104.211,70.6,47.2,35,92.1032,66.2
2009 Purdue,49.7,35.1,105.14,70,41.6,32.8,89.85,66.7
2010 Purdue,50.1,31.9,106.707,72.6,42.2,35.7,91.6428,71
2011 Purdue,48.7,36.7,109.276,71.2,44.5,32.8,93.1151,69.4
2012 Purdue,47.9,37.7,110.206,65.2,49.1,35.6,100.941,69.8
2015 Purdue,51,33.5,106.573,68.5,42.3,35,98.5303,69.7
2016 Purdue,52.9,36.8,114.086,74.2,43,31.3,94.9121,70.7
2017 Purdue,52.5,40.6,112.965,76.4,45.8,32.3,94.7469,71.2
2018 Purdue,54.9,42,118.518,74.3,44.9,33.7,96.6679,67.9
2019 Purdue,51.2,36.4,113.828,73.2,47.9,34.4,99.7844,73.3
2021 Purdue,52.1,33.5,106.055,71.1,49.7,31.5,98.8645,67.5
2022 Purdue,55.9,39.1,118.576,70.3,49.2,33.5,102.357,72
2023 Purdue,54.1,32.6,113.435,74.3,47.4,31.4,97.4768,73.6
2009 Radford,50.2,34.8,102.444,67.8,44.7,33.4,99.2353,70
2018 Radford,47.3,35.1,104.001,73.3,48.4,34.2,100.509,76.1
2017 Rhode Island,50.5,34,108.7,65.7,45.3,29,96.1015,71
2018 Rhode Island,51.1,35,109.867,70.7,50.3,33.1,98.0447,73.4
2010 Richmond,50,35.1,103.465,69.7,43.5,29.7,93.4488,70.6
2011 Richmond,50,40,108.788,69.1,44.4,30.1,94.5571,68.9
